position,salary,hours,years,respon,salq,years_cut,time
PROFESOR EXBECARIO DOCTORADO           ,2086666.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,1984906.0,Tiempo Completo,12,PROFESIONAL EN DESARROLLO Y MANTENIMIENTO DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                         ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1038245.25,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,719292.5,1/2 tiempo,6,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1043222.25,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO BACHILLER            ,64200.25,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,389287.1,1/2 tiempo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1078149.0,Tiempo Completo,5,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,215883.3,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,795045.05,7/8 de tiempo,7,TÉCNICO DE LABORATORIO EN BIOLOGÍA                                                                                                                                                                                                                              ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR EXBECARIO DOCTORADO           ,2433798.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO                       ,601034.0,3/8 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,1115446.0,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1910689.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1801071.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1742140.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,542152.7,5/8 de tiempo,8,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,855285.0,7/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,203839.6,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,272200.7,3/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO,957222.8,Tiempo Completo,11,TÉCNICO EN PROYECTOS Y ACTIVIDADES DEL CENTRO DE INVESTIGACIONES GEOFÍSICAS                                                                                                                                                                                     ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,585733.75,5/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1380370.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,1056620.0,Tiempo Completo,10,FACILITADOR EN EL TRÁMITE DE PROYECTOS DE EXTENSIÓN CULTURAL Y DOCENTE                                                                                                                                                                                          ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1141849.0,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1564181.4,7/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,297586.25,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1159936.0,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,1043025.0,Tiempo Completo,4,PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,857794.7,7/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,827051.4,7/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,1401040.0,Tiempo Completo,12,TÉCNICO EN CONTROL INTERNO DE OAF                                                                                                                                                                                                                               ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1061043.0,Tiempo Completo,12,SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL A,1032829.0,Tiempo Completo,12,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,1002690.0,Tiempo Completo,12,MENSAJERO-CHOFER                                                                                                                                                                                                                                                ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1095745.0,Tiempo Completo,12,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,281276.05,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1394535.0,Tiempo Completo,12,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,958569.0,Tiempo Completo,12,CONSERJE                                                                                                                                                                                                                                                        ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1401040.0,Tiempo Completo,12,TÉCNICO COORDINADOR DE MANTENIMIENTO AUTOMOTRIZ                                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1401040.0,Tiempo Completo,12,TÉCNICO EN GESTIÓN FINANCIERA                                                                                                                                                                                                                                   ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL C,2213454.0,Tiempo Completo,11,PROFESIONAL COORDINADOR DE LA UNIDAD DE GESTIÓN Y EVALUACIÓN DEL SEP                                                                                                                                                                                            ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,306395.8,1/2 tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,583467.0,3/4 de tiempo,3,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,895409.0,Tiempo Completo,12,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
